FundName,Date,Excess,OutPerformance,Return,Rank
Pengana Global Small Companies Fund,30/11/2016,4.00,out performed,3.87,1
Vanguard Australian Shares Index ETF,30/11/2016,2.87,out performed,2.74,2
Vanguard All-World Ex-US Shares Index ETF,30/11/2016,0.87,,0.75,3
Vanguard Wholesale Australian Fixed Interest Index,30/11/2016,-0.01,,-1.47,4
Vanguard Wholesale Australian Fixed Interest Index,30/11/2016,-0.01,,-1.47,5
Vanguard Wholesale Emerging Markets Shares Index,30/11/2016,-1.74,under performed,-1.86,6
Goldman Sachs Emerging Leaders Fund,30/11/2016,-3.88,under performed,-4.01,7
Vanguard Wholesale Emerging Markets Shares Index,31/10/2016,5.37,out performed,0.74,1
Vanguard All-World Ex-US Shares Index ETF,31/10/2016,3.57,out performed,-1.07,2
Pengana Global Small Companies Fund,31/10/2016,3.45,out performed,-1.18,3
Vanguard Wholesale Australian Fixed Interest Index,31/10/2016,-0.02,,-1.32,4
Vanguard Wholesale Australian Fixed Interest Index,31/10/2016,-0.02,,-1.32,5
Vanguard Australian Shares Index ETF,31/10/2016,2.39,out performed,-2.24,6
Goldman Sachs Emerging Leaders Fund,31/10/2016,-4.22,under performed,-8.85,7
Pengana Global Small Companies Fund,30/09/2016,0.52,,0.63,1
Vanguard Australian Shares Index ETF,30/09/2016,0.39,,0.50,2
Goldman Sachs Emerging Leaders Fund,30/09/2016,-0.25,,-0.13,3
Vanguard Wholesale Australian Fixed Interest Index,30/09/2016,-0.01,,-0.23,4
Vanguard Wholesale Australian Fixed Interest Index,30/09/2016,-0.01,,-0.23,5
Vanguard All-World Ex-US Shares Index ETF,30/09/2016,-0.57,,-0.46,6
Vanguard Wholesale Emerging Markets Shares Index,30/09/2016,-0.65,,-0.54,7
Vanguard Wholesale Emerging Markets Shares Index,31/08/2016,4.27,out performed,3.54,1
Pengana Global Small Companies Fund,31/08/2016,3.94,out performed,3.20,2
Vanguard All-World Ex-US Shares Index ETF,31/08/2016,2.64,out performed,1.91,3
Vanguard Wholesale Australian Fixed Interest Index,31/08/2016,0.00,,0.42,4
Vanguard Wholesale Australian Fixed Interest Index,31/08/2016,0.00,,0.42,5
Vanguard Australian Shares Index ETF,31/08/2016,-0.86,,-1.59,6
Goldman Sachs Emerging Leaders Fund,31/08/2016,-1.58,under performed,-2.31,7
Goldman Sachs Emerging Leaders Fund,31/07/2016,0.30,,8.07,1
Vanguard Australian Shares Index ETF,31/07/2016,-1.78,under performed,5.98,2
Vanguard Wholesale Emerging Markets Shares Index,31/07/2016,-5.01,under performed,2.75,3
Pengana Global Small Companies Fund,31/07/2016,-5.05,under performed,2.72,4
Vanguard All-World Ex-US Shares Index ETF,31/07/2016,-5.61,under performed,2.16,5
Vanguard Wholesale Australian Fixed Interest Index,31/07/2016,-0.02,,0.71,6
Vanguard Wholesale Australian Fixed Interest Index,31/07/2016,-0.02,,0.71,7
Vanguard Wholesale Australian Fixed Interest Index,30/06/2016,-0.02,,1.29,1
Vanguard Wholesale Australian Fixed Interest Index,30/06/2016,-0.02,,1.29,2
Vanguard Wholesale Emerging Markets Shares Index,30/06/2016,3.03,out performed,1.22,3
Vanguard Australian Shares Index ETF,30/06/2016,-0.73,,-2.54,4
Vanguard All-World Ex-US Shares Index ETF,30/06/2016,-1.77,under performed,-3.58,5
Goldman Sachs Emerging Leaders Fund,30/06/2016,-2.42,under performed,-4.23,6
Pengana Global Small Companies Fund,30/06/2016,-2.97,under performed,-4.78,7
